742 Silver Oak Dr, Tehachapi, CA, 93561   ,35.1295913,-118.4598666
127 Lincoln Ave, Bakersfield, CA, 93308   ,35.4143911,-119.0232843
925 Quincy St, Bakersfield, CA, 93305    ,35.3839343,-118.9858124
2608 Lacorte Pl, Bakersfield, CA, 93313    ,35.2787942,-119.0320134
203 Taylor St, Taft, CA, 93268   ,35.1532498,-119.4603324
6300 Ridgeway Ct, Bakersfield, CA, 93306   ,35.3934131,-118.9317119
Po Box 189, Tehachapi, CA, 93581   ,35.13,-118.45
20409 Bell Ct, Tehachapi, CA, 93561   ,35.1295123,-118.4934443
1341 Ponderosa Dr, Tehachapi, CA, 93561   ,35.1140292,-118.4459042
6000 Burke Way, Bakersfield, CA, 93309   ,35.3495326,-119.0678342
3409 Edison Hwy, Bakersfield, CA, 93307    ,35.3643658,-118.9425615
27981 119th Hwy, Taft, CA, 93268   ,35.1424678,-119.4472351
Meadow Lakes Dr, Tehachapi, CA, 93561   ,35.1677127,-118.6590778
20674 Tucker Rd, Tehachapi, CA, 93561   ,35.1193608,-118.4669841
24553 Chimanimani Ct, Tehachapi, CA, 93561   ,35.175028,-118.344066
21600 Loop St, Tehachapi, CA, 93561   ,35.132155,-118.4889738
23740 Port Royal Ct, Tehachapi, CA, 93561   ,35.1615217,-118.6612302
2918 Kaibab Ave, Bakersfield, CA, 93306   ,35.404426,-118.9599719
3402 Buccaneer Rose Ave, Bakersfield, CA, 93313   ,35.2857251,-119.0410376
1401 Robin Ln, Tehachapi, CA, 93561   ,35.1134903,-118.4611897
24761 Deertrail Dr, Tehachapi, CA, 93561   ,35.1788809,-118.649242
123 N 10th St #26, Taft, CA, 93268   ,35.1432179,-119.468467
10708 Palm Ave, Bakersfield, CA, 93312   ,35.3764621,-119.1242756
10200 Enger St, Bakersfield, CA, 93312   ,35.378722,-119.1152337
Po Box 115, Tehachapi, CA, 93581   ,35.13,-118.45
24260 Bowen Ct, Tehachapi, CA, 93561   ,35.1712394,-118.6347972
28180 Sunridge Ave, Taft, CA, 93268   ,35.2240474,-119.3776257
5904 Columbine St, Bakersfield, CA, 93308    ,35.4164085,-119.0682432
19188 Backes Ln, Tehachapi, CA, 93561   ,35.0973382,-118.5004008
26701 Skyline Dr, Tehachapi, CA, 93561   ,35.1404235,-118.6060122
1012 3rd St, Taft, CA, 93268   ,35.1475912,-119.4505105
C District Office 29981 Gree, Tehachapi, CA, 93561   ,35.1321877,-118.4489739
827 Pacific St, Bakersfield, CA, 93305   ,35.3832177,-118.9875668
2600 Brookside Dr #46, Bakersfield, CA, 93311   ,35.3318145,-119.0948261
